slug,month,position,title,subtitle,goals,estimated_minutes
berufsbild-maf,1,1,Berufsbild MAF,"Taetigkeiten, Schwerpunkte und Ausbildungsziele des Berufs",Die Kernaufgaben eines Maschinen- und Anlagenfuehrers benennen. | Den Schwerpunkt Metall- und Kunststofftechnik einordnen. | Ausbildungsdauer und Pruefungsstruktur skizzieren.,12
ausbildungsvertrag,1,2,Ausbildungsvertrag,"Vertragsparteien, Inhalte und wichtige Klauseln",Die Pflichtbestandteile eines Ausbildungsvertrags benennen. | Probezeit und Kuendigungsregeln erklaeren. | Unterschied zu Praktikum und Werkstudententätigkeit erkennen.,12
berichtsheft,1,3,Berichtsheft,Taegliche Dokumentation der Ausbildung,Den Zweck des Berichtshefts erklaeren. | Einen fachlich korrekten Tageseintrag formulieren. | Typische Fehler bei der Dokumentation vermeiden.,12
betriebsorganisation,1,4,Betriebsorganisation,"Ablaeufe, Zustaendigkeiten und Kommunikation im Betrieb",Typische Abteilungen in einem Fertigungsbetrieb benennen. | Informationswege im Team beschreiben. | Schnittstellen zwischen Produktion und Qualitaet erklaeren.,12
deutscher-qualifikationsrahmen,1,5,Deutscher Qualifikationsrahmen,Qualifikationsstufen und Anbindung an Berufsausbildung,Die acht DQR-Stufen grob einordnen. | Den Ausbildungsberuf MAF auf dem DQR verorten. | Nutzen des DQR fuer Weiterbildung erklaeren.,12
lernregeln-der-app,1,6,Lernregeln der App,So nutzt du den Online-Lerncampus effektiv,Den Lernrhythmus der App verstehen. | Checkpoint-Regeln und Wiederholungslogik anwenden. | Lernfortschritt sinnvoll dokumentieren.,12
rechte-des-azubis,1,7,Rechte des Azubis,Gesetzliche Rechte waehrend der Ausbildung,Wichtige Rechte aus dem Berufsbildungsgesetz benennen. | Anspruch auf Ausbildungsverguetung und Urlaub erklaeren. | Recht auf sachgerechte Ausbildung beschreiben.,12
pflichten-des-azubis,1,8,Pflichten des Azubis,Pflichten und Verhalten in der Ausbildung,Lern- und Arbeitspflichten beschreiben. | Verschwiegenheit und Sorgfaltspflicht einordnen. | Folgen von Pflichtverletzungen benennen.,12
schwerpunkt-metall-kunststoff,1,9,Schwerpunkt Metall/Kunststoff,Metall- und Kunststofftechnik als Ausbildungsschwerpunkt,Typische Materialien und Verfahren benennen. | UeLU-Schwerpunkte fuer MAF M/K einordnen. | Berufsschulinhalte skizzieren.,12
pruefungsvorbereitung-einstieg,1,10,Pruefungsvorbereitung Einstieg,Erste Schritte zur Zwischen- und Abschlusspruefung,Pruefungsbestandteile von ZP und AP unterscheiden. | Anmeldeprozess bei der IHK skizzieren. | Fruehe Vorbereitungsstrategien anwenden.,12
arbeitsschutz,2,1,Arbeitsschutz,Gefahren erkennen und Schutzmassnahmen anwenden,Gefaehrdungen in der Fertigung benennen. | Fuenf Regeln des Arbeitsschutzes anwenden. | Betriebliche Unterweisung einordnen.,12
brandschutz,2,2,Brandschutz,Brandschutz und Feuerloescher im Betrieb,Brandklassen unterscheiden. | Verhalten bei Brand kennen. | Feuerloescher richtig waehlen.,12
gefahrstoffe,2,3,Gefahrstoffe,Gefahrstoffe sicher handhaben,GHS-Piktogramme lesen. | Sicherheitsdatenblatt nutzen. | Lagerung und Kennzeichnung beachten.,12
entsorgung,2,4,Entsorgung,Abfall und Betriebsstoffe entsorgen,Abfallarten trennen. | Entsorgungswege im Betrieb kennen. | Umweltrechtliche Grundregeln anwenden.,12
unfallverhalten,2,5,Unfallverhalten,Richtiges Verhalten bei Unfaellen,Erste Hilfe Grundregeln kennen. | Unfall melden und absichern. | Notfallnummern parat haben.,12
umweltschutz,2,6,Umweltschutz,Umweltschutz in der Produktion,Ressourcen sparsam nutzen. | Emissionen und Laerm reduzieren. | Betriebliche Umweltziele unterstuetzen.,12
persoenliche-schutzausruestung,2,7,Persoenliche Schutzausruestung,Persoenliche Schutzausruestung,PSA-Arten zuordnen. | PSA richtig anlegen. | Pflege und Ersatz kennen.,12
gefahrenkennung,2,8,Gefahrenkennung,Gefahren frueh erkennen,Typische Gefahrensymbole deuten. | Unsichere Situationen melden. | Praeventives Handeln ueben.,12
notfallmassnahmen,2,9,Notfallmassnahmen,Notfallmassnahmen und Alarmplan,Alarmplan lesen. | Sammelplatz und Fluchtwege kennen. | Rollen bei Evakuierung verstehen.,12
pruefungsaufgaben-shu,2,10,Pruefungsaufgaben SHU,Typische IHK-Fragen zu SHU trainieren,SHU-Fragen sicher loesen. | Gefaehrdungsbeurteilung erklaeren. | PSA und Erste Hilfe pruefungsreif wiederholen.,12
stahl-und-ne-metalle,3,1,Stahl und NE-Metalle,Stahl und NE-Metalle unterscheiden,Stahlarten benennen. | NE-Metalle erkennen. | Eigenschaften zuordnen.,12
kunststoffarten,3,2,Kunststoffarten,Thermo- und Duroplaste,Kunststoffgruppen unterscheiden. | Eigenschaften zuordnen. | Anwendungen benennen.,12
schmier--und-kuehlmittel,3,3,Schmier- und Kuehlmittel,Schmier- und Kuehlmittel richtig einsetzen,Funktion von Schmierstoffen erklaeren. | Kuehlmittelarten unterscheiden. | Wechselintervalle beachten.,12
lagerung-und-kennzeichnung,3,4,Lagerung und Kennzeichnung,Lagerung und Kennzeichnung von Werkstoffen,Lagerregeln anwenden. | Kennzeichnung lesen. | Feuchtigkeit und Korrosion vermeiden.,12
