id,category,prompt,option_a,option_b,option_c,option_d,option_e,correct_index,explanation,difficulty
q-01-01-1,m01-berufsbild-maf,Welche Taetigkeit gehoert typischerweise zum Beruf Maschinen- und Anlagenfuehrer?,Patienten in medizinischen Einrichtungen betreuen.,Gebaeudeelektrik planen und abnehmen.,Ausschliesslich Lohnbuchhaltung fuer Mitarbeitende erstellen.,Fahrzeuge im oeffentlichen Strassenverkehr pruefen.,"Produktionsmaschinen einrichten, bedienen und den Fertigungsprozess ueberwachen.",4,"MAF arbeiten an Produktionsanlagen: einrichten, bedienen, ueberwachen, warten und Qualitaet sichern.",2
q-01-01-2,m01-berufsbild-maf,In welchem Umfeld arbeitet ein MAF mit Schwerpunkt Metall/Kunststofftechnik ueberwiegend?,In der Gastronomie als Servicekraft.,In der Landwirtschaft auf Ackerflaechen.,Ausschliesslich in Call-Center-Abteilungen.,In der industriellen Fertigung von Metall- und Kunststoffbauteilen.,In der ambulanten Pflege.,3,"Der Schwerpunkt Metall/Kunststofftechnik ist auf Fertigung, Maschinenbedienung und Qualitaet ausgerichtet.",2
q-01-02-1,m01-ausbildungsvertrag,Was ist ein Ausbildungsvertrag nach dem Berufsbildungsgesetz?,Nur eine E-Mail ohne Unterschriften.,Ein Vertrag ausschliesslich zwischen Azubi und Berufsschule.,Ein Arbeitsvertrag ohne Bezug zur Ausbildungsordnung.,"Ein schriftlicher Vertrag zwischen Auszubildendem, Ausbildungsbetrieb und ggf. gesetzlichem Vertreter.",Ein muendlicher Handschlag ohne Dokumentation.,3,Der Ausbildungsvertrag regelt Rechte und Pflichten und muss schriftlich geschlossen werden.,2
q-01-02-2,m01-ausbildungsvertrag,Welche Angabe gehoert zwingend in einen Ausbildungsvertrag?,Die Farbe der Werkstattkleidung als einzige Pflichtangabe.,Ausschliesslich die Telefonnummer der IHK.,Dauer der Ausbildung und Art der beruflichen Ausbildung.,Die private Hobbys des Auszubildenden.,Die Urlaubsplaene aller Kollegen.,2,"Pflichtangaben umfassen u. a. Dauer, Berufsbezeichnung und Verguetung gemaess Ausbildungsvertrag.",2
q-01-03-1,m01-berichtsheft,Wozu dient das Berichtsheft in der dualen Ausbildung?,Es dient ausschliesslich der privaten Tagebuchfuehrung.,Es muss nicht von der Ausbildungsleitung kontrolliert werden.,"Es dokumentiert taegliche Ausbildungsinhalte fuer Betrieb, Berufsschule und Pruefung.",Es ersetzt alle Sicherheitsunterweisungen.,Es wird nur einmal im Jahr ohne Inhalt abgegeben.,2,Das Berichtsheft ist Nachweis der Ausbildung und Grundlage fuer Gespraeche mit Ausbilder und Pruefer.,2
q-01-03-2,m01-berichtsheft,Was gehoert zu einer ordentlichen Berichtsheftfuehrung?,Berichtsheft nur bei Krankheit fuehren.,"Taetigkeiten, Lerninhalte und ggf. Betriebsauftraege regelmaessig und wahrheitsgemaess eintragen.",Nur Wochenenden ohne Betriebsbezug beschreiben.,Inhalte erst am Pruefungstag nachtragen.,Ausschliesslich Zeichnungen ohne Text eintragen.,1,"Regelmaessige, nachvollziehbare Eintraege sind Pflicht und zeigen den Ausbildungsfortschritt.",2
q-01-04-1,m01-betriebsorganisation,Was versteht man unter Betriebsorganisation im Produktionsbetrieb?,Das Ignorieren von Schnittstellen zwischen Abteilungen.,"Die strukturierte Abstimmung von Arbeitsplaetzen, Ablaeufen und Verantwortlichkeiten.",Nur die Farbgestaltung der Werkstatt.,Ausschliesslich die Kantinenplanung.,Die private Terminplanung der Azubis.,1,"Gute Betriebsorganisation koordiniert Produktion, Material, Qualitaet und Sicherheit.",2
q-01-04-2,m01-betriebsorganisation,Warum ist die Betriebsorganisation fuer einen MAF wichtig?,"Sie hilft, Auftraege termingerecht, sicher und qualitaetsgerecht abzuarbeiten.",Sie ersetzt technische Zeichnungen vollstaendig.,Sie macht Sicherheitsregeln ueberfluessig.,"Sie gilt nur fuer die Geschaeftsfuehrung, nicht fuer Azubis.",Sie verbietet jede Kommunikation im Team.,0,Strukturierte Ablaeufe reduzieren Fehler und machen Arbeit im Team nachvollziehbar.,2
q-01-05-1,m01-deutscher-qualifikationsrahmen,Wofuer steht der Deutsche Qualifikationsrahmen (DQR)?,Er ordnet berufliche Qualifikationen nach Kompetenzniveaus ein.,Er legt ausschliesslich Urlaubsregeln fest.,Er ersetzt die Ausbildungsordnung vollstaendig.,Er regelt nur die Maschinenwartung.,Er beschreibt nur private Freizeitaktivitaeten.,0,Der DQR macht Qualifikationsniveaus vergleichbar und unterstuetzt lebenslanges Lernen.,2
q-01-05-2,m01-deutscher-qualifikationsrahmen,Welches Niveau hat eine abgeschlossene dual Ausbildung im DQR typischerweise?,Niveau 1 als reine Basiskompetenz.,Niveau 8 als Doktorgrad.,"Kein DQR-Niveau, da nicht vergleichbar.",Niveau 2 ohne Berufsbezug.,Niveau 4 als anerkannte Berufsqualifikation.,4,Die duale Berufsausbildung wird im DQR in der Regel dem Niveau 4 zugeordnet.,2
